 RNO,ID,TI,Author Keywords,Keywords Plus
473,273914,Theory of neuromata,descriptional complexity; emptiness problem; finite neural networks; Hopfield networks; regular expressions; string acceptors,RECURRENT NEURAL NETWORKS; FINITE-STATE AUTOMATA; COMPLEXITY; MACHINES
474,273933,A new general derandomization method,BPP; Boolean circuits; derandomization,RANDOMNESS
475,274429,"Reasoning about knowledge and probability (vol 41, pg 340, 1994)",,
476,269000,Contention in shared memory algorithms,contention; counting networks; mutual exclusion,CONSENSUS; NETWORKS
477,269002,Exact analysis of Dodgson elections: Lewis Carroll's 1876 voting system is complete for parallel access to NP,completeness; election systems; Lewis Carroll; majority rule,
478,269003,Software reliability via run-time result-checking,built-in testing; concurrent error detection; debugging; fault tolerance; Fourier Transform; result-checking; self-correcting,ALGEBRAIC METHODS; COMPUTATIONS; POLYNOMIALS
479,269004,Compositional refinement of interactive systems,interactive systems; refinement; specification,CALCULUS; PROGRAMS
480,265912,Applications of a logic of knowledge to motion planning under uncertainty,analysis; logics of knowledge and time; knowledge representation; motion planning under uncertainty,COMMON KNOWLEDGE; ENVIRONMENT
481,265914,Sparsification - A technique for speeding up dynamic graph algorithms,dynamic graph algorithms; minimum spanning trees; edge and vertex connectivity,MINIMUM SPANNING-TREES; LINEAR-TIME ALGORITHM; BICONNECTED COMPONENTS; ONLINE; CONNECTIVITY
482,265918,Learning to reason,common sense reasoning; computational learning; knowledge representation; model-based reasoning,KNOWLEDGE REPRESENTATION; INTELLIGENCE; FOUNDATIONS; BASES; LOGIC
483,265922,How much can hardware help routing?,multi-port; packet routing; permutation routing; randomized routing algorithms; single-port,TIGHT BOUNDS; PARALLEL; COMMUNICATION; NETWORKS
484,265923,Time-work tradeoffs for parallel algorithms,breadth first search; PRAM; nearby lists; shortest path; topological sort; transitive closure,
485,263489,Closure properties of constraints,complexity; constraint satisfaction problem; indicator problem; NP-completeness,CONSISTENCY; SATISFACTION; NETWORKS
486,263499,Constraint tightness and looseness versus local and global consistency,constraint-based reasoning; constraint networks; constraint satisfaction problems; local consistency; relations,SATISFACTION PROBLEMS; SUFFICIENT CONDITION; NETWORKS; SEARCH
487,263869,Approximating shortest paths on a convex polytope in three dimensions,approximation algorithms; convex polytopes; Euclidean shortest paths,3 DIMENSIONS; POLYHEDRA; ALGORITHM
488,263872,A simple min-cut algorithm,min-cut,MAXIMUM-FLOW PROBLEM
489,263888,Robust wait-free hierarchies,asynchronous computing; hierarchy; implementation; MIMD; robustness; shared memory; shared objects; synchronization; wait-freedom,
490,263927,"Scale-sensitive dimensions, uniform convergence, and learnability",PAC learning; uniform laws of large numbers; Vapnik-Chervonenkis dimension,
491,268580,"Two heads are better than two tapes (vol 44, pg 244, 1997)",,
492,258129,Exponential bounds with applications to call admission,call admission control; effective bandwidth; ergodicity; exponential bound; large deviation principle; Markov additive process; Markov chain; matrix analysis; queues; tail distribution,LARGE DEVIATIONS; INTREE NETWORKS; CALCULUS; QUEUE; DELAY; MULTIPLEXERS; BANDWIDTH; ARRIVALS; SYSTEM
493,,"Mesh refinement via bidirected flows: Modeling, complexity, and computational results",augmenting paths; b-matching problem; bidirected flows; mesh generation; NP-completeness; templates,GENERATION
494,258179,How to use expert advice,,ALGORITHMS; LEARNABILITY; PREDICTION; SEQUENCES
495,258201,On-line routing of virtual circuits with applications to load balancing and machine scheduling,high-speed networks; on-line algorithms; optimization; routing,FAST APPROXIMATION ALGORITHMS; CONCURRENT FLOW PROBLEM
496,258212,On the power and limitations of strictness analysis,abstract interpretation; completeness; program analysis; strictness analysis,
497,268577,On becoming editor-in-chief of JACM,,
498,256306,Semiring-based constraint satisfaction and optimization,constraint solving; dynamic programming; local consistency; non-crisp constraint reasoning,RELAXATION; NETWORKS
499,256308,Two heads are better than two tapes,buffer; heads vs tapes; Kolmogorov complexity; lower bound; multihead tape; multitape Turing machine; on-line simulation; overlap; queue; real-time simulation; single-head tapes; two-head tape,TURING-MACHINES; LOWER BOUNDS; LINEAR-TIME; SIMULATION; COMPUTATION; QUEUE
500,,Dynamic word problems,cell probe model; dynamic algorithms; Krohn-Rhodes decomposition; sunflower lemma; word problems,CIRCUITS; LANGUAGES; NC
501,256311,On the completeness of object-creating database transformation languages,computational completeness; constructive transformation; first-order logic; object creation; object-oriented database; relational database; while loop,QUERY LANGUAGES; COMPLEX OBJECTS; MODEL
502,256313,Decomposition of tautologies into regular formulas and strong completeness of connection-graph resolution,connection-graph resolution; decomposition of unsatisfiable formulas; regular graphs; semantic trees; strong completeness,HARD EXAMPLES; MATRICES; PROOF
503,256314,Evaluating uniform expressions within two steps of minimum parallel time,communication cost; communication time; parallel reduction; processor grid,
504,256294,Separators for sphere-packings and nearest neighbor graphs,centerpoint; computational geometry; graph algorithms; graph separators; partitioning; probabilistic method; point location; randomized algorithm; sphere-preserving mapping,THEOREM
505,256295,"Fixpoint logics, relational machines, and computational complexity",complexity classes; computational complexity; fixpoint logic; relational complexity,FINITE STRUCTURES; INFINITARY LOGIC; QUERIES; EXTENSIONS; DATALOG; SPECTRA
506,256296,Avoiding Cartesian products for multiple joins,Cartesian product; database scheme; join expression tree; join strategy; optimality; semijoin,QUERIES
507,256298,The maintenance of common data in a distributed system,distributed computing; distributed databases; network management; network topology update; routing,
508,256299,Work-preserving emulations of fixed-connection networks,graph embeddings; network emulations; parallel architectures; processor arrays,
509,256301,"Optimizing two-phase, level-clocked circuitry",clock tuning; level-clocked circuitry; multiphase clocking; retiming; timing analysis and optimization; VLSI,SPEED DIGITAL-SYSTEMS; MAXIMUM
510,235810,Fast text searching for regular expressions or automaton searching on tries,digital trees; finite automata; regular expressions; text searching,SEQUENCE; TREE
511,235811,Constructing deterministic finite-state automata in recurrent neural networks,automata; connectionism; knowledge encoding; neural networks; nonlinear dynamics; recurrent neural networks; rules; stability,TIME; INDUCTION; MACHINES
512,235812,Efficient routing in optical networks,optical networks; routing; wavelength assignment,WAVELENGTHS
513,235813,On the combinatorial and algebraic complexity of quantifier elimination,quantifier elimination; real closed fields; Tarski-Seidenberg principle,COMPUTATION; NUMBERS; SETS
514,235814,An analysis of magic sets and related optimization strategies for logic queries,datalog; envelopes; logic query; magic sets,DATABASES
515,234753,Optimal prefetching via data compression,caching; competitive analysis; databases; data compression; fault rate; hypertext; Markov source; prediction; prefetching; secondary stage; universal prefetcher,INDIVIDUAL SEQUENCES
516,234754,A combinatorial treatment of balancing networks,balancing networks; block-input networks; block-output networks; combinatorial characterization; counting networks; impossibility results; incidence matrices; smoothing networks; transfer parameters,COUNTING NETWORKS; SORTING NETWORK
517,234755,How many queries are needed to learn?,certificates; equivalence queries; exact identification; membership queries; polynomial-time hierarchy; polynomial-time learning; polynomial-query learning; proper learning,
518,234756,The meaning of negative premises in transition system specifications,bisimulation; congruence; conservative extension of TSSs; logic programming; negative premises; ntyft/ntyxt-format; priorities and abstraction; process algebra,OPERATIONAL SEMANTICS; BISIMULATION
519,234534,A new approach to the minimum cut problem,graph algorithm; minimum cut; network reliability; parallel computing; randomized algorithm,MAXIMUM-FLOW ALGORITHM; EDGE-CONNECTIVITY; BOUNDS; GRAPHS; RNC
520,234539,Bounding errors introduced by clustering of customers in closed product-form queuing networks,balance equation; closed network; clustering; error bound; product-form; quasi-reversibility; queuing network,MEAN-VALUE ANALYSIS; MODELS; CHAINS
521,234543,Complexity of Makanin's algorithm,diophantine equations; periodicity; semantic unification; semigroups; word equations,WORD UNIFICATION; EQUATIONS
522,234549,The weakest failure detector for solving Consensus,agreement problem; asynchronous systems; atomic broadcast; Byzantine Generals' problem; commit problem; consensus problem; crash failures; failure detection; fault-tolerance; message passing; partial synchrony; processor failures,DISTRIBUTED CONSENSUS
523,234556,How to share concurrent wait-free variables,atomicity; concurrent reading and writing; multi-writer; shared variable (register),REGISTERS
524,234564,On the Fourier spectrum of monotone functions,approximation; circuits; complexity; Fourier transform; functions; harmonic analysis learning; monotone Boolean; monotone circuits,
525,233552,On linear potential functions for approximating Bayesian computations,artificial intelligence; data compaction and compression; integer programming; least squares approximation; pattern recognition; probabilistic reasoning; uncertainty,INFERENCE
526,233553,Software protection and simulation on oblivious RAMs,pseudorandom functions; simulation of random access machines; software protection,
527,233554,Foundations of multimedia database systems,data structures; multimedia databases; query languages; processing,KNOWLEDGE; LANGUAGE
528,233555,Linear-time suffix parsing for deterministic languages,,SYNTAX ERROR RECOVERY; ALGORITHM
529,233556,Branching time and abstraction in bisimulation semantics,,PROCESS ALGEBRA; LINEAR TIME; COMMUNICATING PROCESSES; REACTIVE SYSTEMS; EQUIVALENCE; LOGICS; SPECIFICATION; CONCURRENCY
530,226644,Knowledge compilation and theory approximation,efficient reasoning methods; Horn clauses; knowledge-base optimization; knowledge compilation; query evaluation; theory approximation,SATISFIABILITY; ABSTRACTION; FRAMEWORK
531,226647,Unreliable failure detectors for reliable distributed systems,agreement problem; asynchronous systems; atomic broadcast; Byzantine Generals' problem; commit problem; consensus problem; crash failures; failure detection; fault-tolerance; message passing; partial synchrony; processor failures,BROADCAST PROTOCOLS; CONSENSUS; COMMUNICATION; AGREEMENT; KNOWLEDGE; FAULTS
532,226652,Interactive proofs and the hardness of approximating cliques,hardness of approximation; independent set in a graph; multilinearity testing; np-completeness; probabilistically checkable proofs,PERFORMANCE GUARANTEE; COMPLEXITY; NP; SYSTEMS
533,226658,Optimal emulations by butterfly-like networks,embeddings; emulations; mapping algorithms; mapping problems; parallel architectures; processor arrays,INTERCONNECTION NETWORK; HYPERCUBES; GRAPHS; EMBEDDINGS; VLSI
534,226670,Sorting on a parallel pointer machine with applications to set expression evaluation,cascade merging; expression evaluation; linking automation; mergesort; parallel algorithms; pointer machine; PRAM,TREE CONTRACTION; ALGORITHMS
535,226675,Confluence properties of weak and strong calculi of explicit substitutions,confluency; explicit substitutions,TERM-REWRITING SYSTEMS; LAMBDA-CALCULI; CCL
536,227596,Local management of a global resource in a communication network,diffusing computations; distributed computation; distributed network management; resource management,ALGORITHM
537,227597,Tabled evaluation with delaying for general logic programs,program transformations; stable models; tabled evaluation; well-founded models,SEMANTICS
538,227601,A comprehensive study of the complexity of multiparty interaction,distributed languages; multiparty interaction; multiparty interaction scheduling; taxonomy,SYNCHRONIZATION; COMMUNICATION; IMPLEMENTATION; LANGUAGE
539,227602,The benefits of relaxing punctuality,model checking; real time; temporal logic; timed automata,REAL-TIME SYSTEMS; TEMPORAL LOGIC; MODEL-CHECKING; COMPLEXITY
540,227693,The asymptotic complexity of merging networks,comparator network; merging; sorting,
541,227603,Automated proofs of object code for a widely used microprocessor,Ada; automated reasoning; Boyer-Moore logic; C; Common Lisp; formal methods; machine code; mechanical theorem proving; MC68xxx; Nqthm; object code; program proving; program verification,
542,227684,Improved approximation algorithms for maximum cut and satisfiability problems using semidefinite programming,approximation algorithms; convex optimization; randomized algorithms; satisfiability,COMBINATORIAL OPTIMIZATION; LARGEST EIGENVALUES; COMPLEXITY; MATRICES; GRAPHS
543,227685,On the impact of forgetting on learning machines,probabilistic automata; pumping lemma; recursion theorem,INDUCTIVE INFERENCE
544,227686,Subquadratic zero-knowledge,bit commitment; circuit evaluation; communication complexity; cryptography; interactive proofs; matrix multiplication; non-averaging sets; probabilistic algorithms; proof systems; randomness; zero knowledge,PROOF SYSTEMS
545,227687,"Equational specifications, complete term rewriting systems, and computable and semicomputable algebras",abstract data types; complete term rewriting systems; computable and semicomputable algebras; equational specifications with hidden functions; many sorted algebras; term rewriting systems,
546,227688,Computing with faulty shared objects,algorithms; fault-tolerance; shared memory; synchronization; atomic operations,CONSENSUS; SYSTEMS; MEMORY; IMPOSSIBILITY
547,227689,Termination for direct sums of left-linear complete term rewriting systems,theory; confluence; left-linearity; term rewriting systems,
548,200838,THE COMPLEXITY OF LOGIC-BASED ABDUCTION,THEORY; ABDUCTION; COMPLEXITY ANALYSIS; DIAGNOSIS; REASONING; PROPOSITIONAL LOGIC,COMPUTATIONAL-COMPLEXITY; BELIEF NETWORKS; COUNTERFACTUALS; NP
549,200848,REASONING ABOUT TEMPORAL RELATIONS - A MAXIMAL TRACTABLE SUBCLASS OF ALLENS INTERVAL ALGEBRA,ALGORITHMS; THEORY; CONSTRAINT SATISFACTION; INTERVAL ALGEBRA; QUALITATIVE REASONING; TEMPORAL REASONING,CONSISTENCY; NETWORKS
550,195637,MIXED-INTEGER PROGRAMMING METHODS FOR COMPUTING NONMONOTONIC DEDUCTIVE DATABASES,DEDUCTIVE DATABASES; LOGIC PROGRAMMING; NONMONOTONIC REASONING; OPERATIONS RESEARCH,LOGIC
551,185678,CIRCUMSCRIPTION WITH HOMOMORPHISMS - SOLVING THE EQUALITY AND COUNTEREXAMPLE PROBLEMS,THEORY; CIRCUMSCRIPTION; COMMON SENSE REASONING,LOGIC
552,185682,THE TURN MODEL FOR ADAPTIVE ROUTING,ALGORITHMS; DESIGN; PERFORMANCE; ADAPTIVE ROUTING; DEADLOCK; HYPERCUBE; MASSIVELY PARALLEL COMPUTERS; MESH TOPOLOGY; WORMHOLE ROUTING,CUBE INTERCONNECTION NETWORKS; PERFORMANCE
553,185776,"EQUIVALENCE, REVERSIBILITY, SYMMETRY AND CONCAVITY PROPERTIES IN FORK-JOIN QUEUING-NETWORKS WITH BLOCKING",PERFORMANCE; BLOCKING BEFORE SERVICE; CONCAVITY; DUALITY; EQUIVALENCE; FORK-JOIN QUEUING NETWORKS; MARKED GRAPHS; QUEUING THEORY; SYMMETRY; THROUGHPUT,FINITE BUFFERS; PETRI NETS; SYSTEMS; THROUGHPUT; QUEUES; SYNCHRONIZATION; MODELS
554,185791,FULLY PERSISTENT LISTS WITH CATENATION,ALGORITHMS; DESIGN; LANGUAGES; THEORY; AMORTIZATION; CATENATION; CONCATENATION; DATA STRUCTURES; FUNCTIONAL PROGRAMMING; LISP; LIST; QUEUE; STACK,
555,306789,ON THE HARDNESS OF APPROXIMATING MINIMIZATION PROBLEMS,ALGORITHMS; THEORY; APPROXIMATION ALGORITHMS; CHROMATIC NUMBER; CLIQUE COVER; DOMINATING SET; GRAPH COLORING; HITTING SET; INDEPENDENT SET; NP-HARD; PROBABILISTICALLY CHECKABLE PROOFS; SET COVER,COMBINATORIAL OPTIMIZATION; COMPLEXITY; CLIQUES; GRAPHS
556,185795,SHORTEST PATHS IN THE PLANE WITH POLYGONAL OBSTACLES,ALGORITHMS; PERFORMANCE; EUCLIDEAN PLANE; MINIMAL MOVEMENT PROBLEM; MOTION PLANNING; MOVERS PROBLEM; POLYGONAL OBSTACLES; ROBOTICS; SHORTEST PATH,BARRIERS
557,185811,SINGLE-EXPONENTIAL UPPER BOUND FOR FINDING SHORTEST PATHS IN 3 DIMENSIONS,ALGORITHMS; PERFORMANCE; MINIMAL MOVEMENT PROBLEM; MOTION PLANNING; MOVERS PROBLEM; ROBOTICS; SHORTEST PATH; THEORY OF REAL CLOSED FIELDS; 3-DIMENSIONAL EUCLIDEAN SPACE,
558,185815,COUNTING NETWORKS,ALGORITHMS; PERFORMANCE; COUNTING NETWORKS; HOT-SPOTS; NETWORK ROUTING; PARALLEL PROCESSING,PARALLEL
559,179813,ON SOLVING EQUATIONS AND DISEQUATIONS,DEFINITE CLAUSE; E-DISUNIFICATION; E-UNIFICATION; EQUATIONAL THEORY; INEQUATIONS; LOGIC PROGRAMMING; SOLVING EQUATIONS AND DISEQUATIONS,COMPLETE-SETS; UNIFICATION
560,179818,LINEAR-APPROXIMATION OF SHORTEST SUPERSTRINGS,APPROXIMATION ALGORITHM; SHORTEST COMMON SUPERSTRING,
561,179838,EFFICIENT DECOMPOSITION METHODS FOR THE ANALYSIS OF MULTI-FACILITY BLOCKING MODELS,BLOCKING MODELS; CIRCUIT-SWITCHED NETWORKS; DECOMPOSITION METHODS; EXACT ANALYSIS; LOCALITY; PRODUCT-FORM; RECUSION; SPARSITY,CIRCUIT-SWITCHED NETWORKS; SHARED RESOURCE ENVIRONMENT; PROBABILITIES; ALGORITHMS; SERVICE
562,179848,COMPUTING BOUNDS ON STEADY-STATE AVAILABILITY OF REPAIRABLE COMPUTER-SYSTEMS,BOUNDS; MARKOV MODELS; STATIONARY PROBABILITIES,
563,179892,THE RELATIONSHIP BETWEEN GREEDY PARSING AND SYMBOLWISE TEXT COMPRESSION,ADAPTIVE MODELING; CONTEXT MODELING; ZIV-LEMPEL COMPRESSION,INDIVIDUAL SEQUENCES; LINEAR ALGORITHM; SCHEME
564,179902,ARE WAIT-FREE ALGORITHMS FAST,APPROXIMATE AGREEMENT; FAULT-TOLERANCE; WAIT-FREE,INTERPROCESS COMMUNICATION; DISTRIBUTED CONSENSUS; COMMON KNOWLEDGE; SHARED-MEMORY; SYNCHRONIZATION
565,179911,MOTION PLANNING IN THE PRESENCE OF MOVING OBSTACLES,COMPUTATIONAL GEOMETRY; CYLINDRICAL ALGEBRAIC DECOMPOSITION; DECISION PROCEDURES; MOTION PLANNING; MOVING OBSTACLES; THEORY OF REALS; TURING MACHINES,AMIDST POLYGONAL BARRIERS; PIANO MOVERS PROBLEM; COMPLEXITY; GEOMETRY; MOVEMENT; REGIONS
566,179927,CHANNEL ROUTING OF MULTITERMINAL NETS,CHANNEL ROUTING; VLSI LAYOUT,
567,176585,ON BINARY CONSTRAINT PROBLEMS,ALGORITHMS; THEORY; CONSTRAINT SATISFACTION PROBLEMS; CONSTRAINT MATRICES; PATH CONSISTENCY; RELATIONS; RELATION ALGEBRAS,RELATION ALGEBRAS; CONSISTENCY; INTERVALS; NETWORKS; VARIETIES
568,176586,NEW APPROXIMATION ALGORITHMS FOR GRAPH-COLORING,ALGORITHMS; THEORY; APPROXIMATION ALGORITHMS; CHROMATIC NUMBER; GRAPH COLORING,PERFORMANCE GUARANTEE
569,176587,ON THE POWER OF BOUNDED CONCURRENCY .1. FINITE AUTOMATA,LANGUAGES; THEORY; ALTERNATION; BOUNDED COOPERATIVE CONCURRENCY; FINITE AUTOMATA; NONDETERMINISM; OMEGA-AUTOMATA; STATECHARTS; SUCCINCTNESS,
570,176588,ON THE POWER OF BOUNDED CONCURRENCY .2. PUSHDOWN-AUTOMATA,THEORY; COOPERATIVE CONCURRENCY; PUSHDOWN AUTOMATA; SUCCINCTNESS,
571,176589,DIVERSITY-BASED INFERENCE OF FINITE AUTOMATA,ALGORITHMS; EXPERIMENTATION; THEORY; DIVERSITY-BASED REPRESENTATION; FINITE AUTOMATA; INDUCTIVE INFERENCE; LEARNING THEORY; PERMUTATION AUTOMATA,IDENTIFICATION
572,174653,FASTER TREE PATTERN-MATCHING,ALGORITHMS; THEORY; CONVOLUTION; DONT-CARE; PATTERN MATCHING; PERIOD; STRING MATCHING; TREE,
573,174654,BICONNECTIVITY APPROXIMATIONS AND GRAPH CARVINGS,ALGORITHMS; BICONNECTIVITY; CONNECTIVITY; SPARSE SUBGRAPHS,AUGMENTATION PROBLEMS; ALGORITHM
574,174655,"EQUATIONAL INFERENCE, CANONICAL PROOFS, AND PROOF ORDERINGS",THEORY; EQUATIONAL LOGIC; INFERENCE SYSTEMS; PROOF THEORY; TERM REWRITING; REWRITE SYSTEMS; TERM ORDERINGS,BENDIX COMPLETION ALGORITHM; TERM REWRITING-SYSTEMS; COMPLETENESS; TERMINATION; REDUCTIONS; INDUCTION; SETS
575,174656,TIGHT LOWER BOUNDS FOR PROBABILISTIC SOLITUDE VERIFICATION ON ANONYMOUS RINGS,ALGORITHMS; THEORY; ANONYMOUS RING; ASYNCHRONOUS UNIDIRECTIONAL RING; BIT COMPLEXITY; LEADER ELECTION; LOWER BOUNDS; NONDETERMINISM; SOLITUDE VERIFICATION,LEADER ELECTION; ALGORITHM
576,174657,THE ELUSIVE ATOMIC REGISTER,ALGORITHMS; RELIABILITY; ATOMIC REGISTER; LINEARIZABILITY; WAIT-FREE SYNCHRONIZATION,CONCURRENT
577,174658,REASONING ABOUT KNOWLEDGE AND PROBABILITY,THEORY; VERIFICATION; KNOWLEDGE; MODAL LOGIC; NONDETERMINISM VS PROBABILITY; POSSIBLE WORDS; PROBABILISTIC COMMON KNOWLEDGE; PROBABILISTIC KNOWLEDGE; REASONING ABOUT KNOWLEDGE AND PROBABILITY,PROPOSITIONAL DYNAMIC LOGIC; COMPLEXITY; SYSTEMS
578,174659,AN ANALYSIS OF ML TYPABILITY,ALGORITHMS; LANGUAGES; THEORY; ACYCLIC SEMIUNIFICATION; SEMIUNIFICATION,UNIFICATION
579,174660,OPTIMAL-ALGORITHMS FOR PARALLEL GIVENS FACTORIZATION ON A COARSE-GRAINED PRAM,ALGORITHMS; THEORY; COMPLEXITY OF PARALLEL ALGORITHMS; GIVENS FACTORIZATION; ORTHOGONAL DECOMPOSITION; PARALLEL LINEAR ALGEBRA,
580,174661,PARALLEL LINEAR-PROGRAMMING IN FIXED DIMENSION ALMOST SURELY IN CONSTANT-TIME,ALGORITHMS; THEORY; COMPUTATIONAL GEOMETRY; LINEAR PROGRAMMING; MULTIDIMENSIONAL SEARCH; PARALLEL COMPUTATION; PROBABILISTIC COMPUTATION,
581,174645,FISHSPEAR - A PRIORITY QUEUE ALGORITHM,COMPARISON COUNT; COMPLEXITY ANALYSIS; HEAP; ONLINE ALGORITHM; PRIORITY QUEUE; RUNNING TIME; SEQUENTIAL STORAGE,HEAPS
582,174646,EFFICIENT COMPUTATION OF FOURIER INVERSION FOR FINITE-GROUPS,FAST FOURIER TRANSFORM; FINITE GROUPS; FOURIER INVERSION; GROUP CONVOLUTION; GROUP REPRESENTATIONS; SYMMETRICAL GROUP,TRANSFORMS
583,174647,CRYPTOGRAPHIC LIMITATIONS ON LEARNING BOOLEAN-FORMULAS AND FINITE AUTOMATA,,CIRCUITS
584,174648,INSTANCE COMPLEXITY,COMPLETENESS; KOLMOGOROV COMPLEXITY; NONUNIFORM COMPLEXITY; PADDABILITY; SELF-REDUCIBILITY,IMMUNE SETS; DENSITY; NP
585,174649,BOUNDS ON THE TIME TO REACH AGREEMENT IN THE PRESENCE OF TIMING UNCERTAINTY,AGREEMENT; CONSENSUS; DISTRIBUTED AGREEMENT; DISTRIBUTED CONSENSUS; FAULT-TOLERANCE; TIMEOUT; TIMING UNCERTAINTY,CLOCK SYNCHRONIZATION; BYZANTINE AGREEMENT; COMMON KNOWLEDGE; CONSENSUS; ALGORITHM; FAULTS
586,174650,APPROXIMATION ALGORITHMS FOR NP-COMPLETE PROBLEMS ON PLANAR GRAPHS,APPROXIMATION ALGORITHMS; APPROXIMATION SCHEMES; DOMINATING SET; HAMILTONIAN CIRCUIT; HAMILTONIAN PATH; INDEPENDENT SET; NP-COMPLETE; PARTITION INTO PERFECT MATCHINGS; PARTITION INTO TRIANGLES; PLANAR GRAPHS; VERTEX COVER,SEPARATOR THEOREM
587,174651,A REALLY TEMPORAL LOGIC,DENSE TIME; DISCRETE TIME; EXP SPACE-COMPLETENESS; LINEAR-TIME TEMPORAL LOGIC; MODEL CHECKING; REAL-TIME REQUIREMENTS; II-PI-COMPLETENESS,REAL-TIME; PROGRAMS
588,174148,PROOF OF THE 4/3 CONJECTURE FOR PREEMPTIVE VS NONPREEMPTIVE 2-PROCESSOR SCHEDULING,"ALGORITHMS, THEORY; MAKESPAN SCHEDULING; PREEMPTIVE SCHEDULING",
589,174149,ON THE COMMUNICATION COMPLEXITY OF DISTRIBUTED ALGEBRAIC COMPUTATION,ALGORITHMS; THEORY; ALGEBRAIC COMPUTATION; COMMUNICATION COMPLEXITY; LOWER BOUND,
590,174150,KINODYNAMIC MOTION PLANNING,PERFORMANCE; RELIABILITY; APPROXIMATION; COMPUTATIONAL GEOMETRY; DYNAMICS; OPTIMAL CONTROL; ROBOTICS; SHORTEST PATH,
591,174151,ON THE OPTIMALITY OF STRATEGIES FOR MULTIPLE JOINS,ALGORITHMS; THEORY; CARTESIAN PRODUCT; HEURISTIC; INTERSECTION; JOIN STRATEGY; JOIN TREE; LINEAR STRATEGY; LOSSLESS JOIN; OPTIMALITY; QUERY OPTIMIZER; SUPERKEY; UNION,DATABASE SCHEMES
592,169676,THE IMPOSSIBILITY OF IMPLEMENTING RELIABLE COMMUNICATION IN THE FACE OF CRASHES,ALGORITHMS; THEORY; CONNECTION RESET; LOWER BOUNDS,ARCHITECTURE
593,169675,COMPLEXITY AND ALGORITHMS FOR REASONING ABOUT TIME - A GRAPH-THEORETIC APPROACH,ALGORITHMS; THEORY; ALGORITHMIC ANALYSIS; COMPLEXITY; DNA MAPPING; INTERVAL GRAPHS; INTERVAL ORDERS; SANDWICH PROBLEMS; SATISFIABILITY; TEMPORAL REASONING,INTERVAL-GRAPHS
594,169807,AN ALGEBRAIC-THEORY OF GRAPH REDUCTION,LANGUAGES; PERFORMANCE; THEORY; GRAPH ALGEBRA; GRAPH REWRITING; MONADIC 2ND-ORDER LOGIC; REGULAR SET OF GRAPHS; TREEWIDTH,MONADIC 2ND-ORDER LOGIC; DECOMPOSABLE GRAPHS; TREE-DECOMPOSITIONS; PARTIAL 3-TREES; FINITE GRAPHS; ALGORITHMS; MINORS; COMPLEXITY; SETS
595,169803,DYNAMIC-PROGRAMMING AND THE GRAPHICAL TRAVELING SALESMAN PROBLEM,ALGORITHMS; THEORY; ALGORITHM; COMBINATORIAL OPTIMIZATION; DYNAMIC PROGRAMMING; GRAPH; TRAVELING SALESMAN PROBLEM,
596,169748,PARALLEL QUEUES WITH RESEQUENCING,PARALLELISM; PERFORMANCE; THEORY; ASYMPTOTICS; M GI 1; PARALLEL QUEUES; RESEQUENCING; STOCHASTIC CONVEXITY,RANDOM-VARIABLES; CONVEXITY; SYSTEM; RATES
597,169745,EXTREMAL SCHEDULING OF PARALLEL-PROCESSING WITH AND WITHOUT REAL-TIME CONSTRAINTS,ALGORITHMS; DESIGN; MANAGEMENT; PERFORMANCE; THEORY; CONVEX ORDERING; CONVEX SYMMETRICAL ORDERING; EXTREMAL POLICY; FCFS; FIFO; DATENESS; LCFS; LIFO; LOCAL ORDER PRESERVING; LONGEST DUE TIME 1ST; PARALLEL PROCESSING; PRECEDENCE CONSTRAINTS; OPTIMAL SCHEDULING; REAL-TIME CONSTRAINTS; RESPONSE TIME; SCHUR CONVEX ORDERING; SHORTEST DUE TIME 1ST; STOCHASTIC ORDERING; THROUGHPUT,SERVICE DISCIPLINES; QUEUING THEORY
598,169736,ON THE SOJOURN TIME DISTRIBUTION IN A FINITE-CAPACITY PROCESSOR SHARED QUEUE,PERFORMANCE; THEORY; ASYMPTOTICS; PROCESSOR-SHARING; SOJOURN TIMES,WAITING-TIME; ASYMPTOTIC EXPANSIONS; SHARING SYSTEMS; HEAVY-USAGE; MOMENTS
599,153727,STRONGLY POLYNOMIAL-TIME AND NC ALGORITHMS FOR DETECTING CYCLES IN PERIODIC GRAPHS,ALGORITHMS; DESIGN; PERFORMANCE; THEORY; APPLICATION OF MULTIDIMENSIONAL SEARCH; APPLICATION OF PARAMETRIC METHOD; STRONGLY POLYNOMIAL ALGORITHMS PERIODIC GRAPHS,
600,153733,ON THE ANALYTICAL MODELING OF DATABASE CONCURRENCY-CONTROL,PERFORMANCE; THEORY; CONCURRENCY CONTROL; DATA CONTENTION; DISTRIBUTED SYSTEMS; LOCKING; OPTIMISTIC CONCURRENCY CONTROL; RESOURCE CONTENTION,PERFORMANCE ANALYSIS; CENTRALIZED DATABASES; 2-PHASE LOCKING; SYSTEMS
601,153741,ATOMIC SNAPSHOTS OF SHARED-MEMORY,ALGORITHMS; CONCURRENCY; SHARED MEMORY; ATOMIC; CONSISTENT STATE; FAULT-TOLERANCE; SNAPSHOT,INTERPROCESS COMMUNICATION; SYSTEMS
602,153752,THE PARALLEL COMPLEXITY OF SIMPLE LOGIC PROGRAMS,ALA; LNA; THN; ALGORITHMS; LANGUAGES; THEORY; AUTOMATON; NC; P-COMPLETENESS; POLYNOMIAL FRINGE; POLYNOMIAL STOCK; PUSHDOWN,
